distance,image_a,image_b,crop_a,crop_b,dataset_a,dataset_b,review_priority
0,datasets\raw\Banana\OriginalSet\healthy\2.jpeg,datasets\raw\Banana\OriginalSet\healthy\34.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\20.jpeg,datasets\raw\Banana\OriginalSet\healthy\59.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\25.jpeg,datasets\raw\Banana\OriginalSet\healthy\55.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\29.jpeg,datasets\raw\Banana\OriginalSet\healthy\51.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\3.jpeg,datasets\raw\Banana\OriginalSet\healthy\92.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\41.jpeg,datasets\raw\Banana\OriginalSet\healthy\8.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\48.jpeg,datasets\raw\Banana\OriginalSet\healthy\89.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\49.jpeg,datasets\raw\Banana\OriginalSet\healthy\5.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Cotton\bacterial_blight\2015-angular-leaf-spot-colquitt-county-2.jpg,datasets\raw\Cotton\bacterial_blight\bact355.jpg,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\2015-angular-leaf-spot-colquitt-county-2.jpg,datasets\raw\Cotton\bacterial_blight\bact359.jpg,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact355.jpg,datasets\raw\Cotton\bacterial_blight\bact359.jpg,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\5586201.jpg,datasets\raw\Cotton\bacterial_blight\bact436.jpg,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact0.jpg,datasets\raw\Cotton\bacterial_blight\bact1.jpg,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact107.jpg,datasets\raw\Cotton\bacterial_blight\bact288.jpg,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact136.png,datasets\raw\Cotton\bacterial_blight\bact137.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact142.png,datasets\raw\Cotton\bacterial_blight\bact147.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact143.png,datasets\raw\Cotton\bacterial_blight\bact148.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact149.png,datasets\raw\Cotton\bacterial_blight\bact150.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact151.png,datasets\raw\Cotton\bacterial_blight\bact3.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact152.png,datasets\raw\Cotton\bacterial_blight\bact4.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact153.png,datasets\raw\Cotton\bacterial_blight\bact5.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact158.jpg,datasets\raw\Cotton\bacterial_blight\bact162.jpg,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact170.jpg,datasets\raw\Cotton\bacterial_blight\bact174.jpg,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact178.png,datasets\raw\Cotton\bacterial_blight\bact247.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact179.png,datasets\raw\Cotton\bacterial_blight\bact183.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact179.png,datasets\raw\Cotton\bacterial_blight\bact248.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact179.png,datasets\raw\Cotton\bacterial_blight\bact252.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact183.png,datasets\raw\Cotton\bacterial_blight\bact248.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact183.png,datasets\raw\Cotton\bacterial_blight\bact252.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact248.png,datasets\raw\Cotton\bacterial_blight\bact252.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact180.png,datasets\raw\Cotton\bacterial_blight\bact184.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact180.png,datasets\raw\Cotton\bacterial_blight\bact249.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact180.png,datasets\raw\Cotton\bacterial_blight\bact253.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact184.png,datasets\raw\Cotton\bacterial_blight\bact249.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact184.png,datasets\raw\Cotton\bacterial_blight\bact253.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact249.png,datasets\raw\Cotton\bacterial_blight\bact253.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact181.png,datasets\raw\Cotton\bacterial_blight\bact185.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact181.png,datasets\raw\Cotton\bacterial_blight\bact250.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact181.png,datasets\raw\Cotton\bacterial_blight\bact254.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact185.png,datasets\raw\Cotton\bacterial_blight\bact250.png,Cotton,Cotton,other,other,HIGH
0,datasets\raw\Cotton\bacterial_blight\bact185.png,datasets\raw\Cotton\bacterial_blight\bact254.png,Cotton,Cotton,other,other,HIGH
